ID,Name,Latitude,Longitude
00000000,"Water of Leith Walkway, NCN 75",55.88747,-3.33912
00000001,Water of Leith Walkway,55.88751,-3.33882
00000002,"Water of Leith Walkway, NCN 75",55.88841,-3.33714
00000003,"Water of Leith Walkway, NCN 75",55.88893,-3.335
00000004,"Water of Leith Walkway, NCN 75",55.88895,-3.33271
00000005,"Water of Leith Walkway, NCN 75",55.89109,-3.32531
00000006,Water of Leith Walkway,55.89109,-3.32372
00000007,"Water of Leith Walkway, NCN 75",55.89115,-3.32346
00000008,"Water of Leith Walkway, NCN 75",55.89246,-3.31588
00000009,"Water of Leith Walkway, NCN 75",55.89277,-3.31433
00000010,"Water of Leith Walkway, NCN 75",55.89563,-3.30869
00000011,Water of Leith Walkway,55.89566,-3.30835
00000012,"Water of Leith Walkway, NCN 75",55.89683,-3.30208
00000013,Water of Leith Walkway,55.89688,-3.30194
00000014,Water of Leith Walkway,55.89904,-3.29462
00000015,Water of Leith Walkway,55.90235,-3.28624
00000016,"Water of Leith Walkway, NCN 75",55.90386,-3.28202
00000017,Water of Leith Walkway,55.90393,-3.28187
00000018,Water of Leith Walkway,55.90436,-3.28026
00000019,Water of Leith Walkway,55.90435,-3.27902
00000020,Water of Leith Walkway,55.90415,-3.27865
00000021,Water of Leith Walkway,55.90493,-3.27621
00000022,Along the side of Water of Leith Walkway,55.90558,-3.27589
00000023,Water of Leith Walkway,55.90592,-3.27554
00000024,Water of Leith Walkway,55.90655,-3.27486
00000025,"Water of Leith Walkway, NCN 75",55.90626,-3.26885
00000026,Water of Leith Walkway,55.90626,-3.26854
00000027,Water of Leith Walkway,55.90617,-3.26437
00000028,Water of Leith Walkway,55.90608,-3.26424
00000029,Water of Leith Walkway,55.90612,-3.26406
00000030,Water of Leith Walkway continuation,55.90609,-3.26329
00000031,Water of Leith Walkway,55.9061,-3.26314
00000032,Water of Leith Walkway,55.90663,-3.26162
00000033,Easter Hailes Gate,55.90846,-3.2587
00000034,Easter Hailes Gate,55.90936,-3.25796
00000035,Water of Leith Walkway,55.90974,-3.25805
00000036,Water of Leith Walkway,55.91374,-3.26022
00000037,Water of Leith Walkway,55.91481,-3.25882
00000038,Water of Leith Walkway,55.91657,-3.25511
00000039,Water of Leith Walkway,55.91751,-3.25492
00000040,Water of Leith Walkway,55.92029,-3.25686
00000041,Capital Trail,55.92037,-3.25681
00000042,Capital Trail,55.92043,-3.2565
