Name,Category,Area,Organisation,Temporal event,Sub category,Summary,Adress,y,x,Website,Performance pop up_valuable,Performance pop up_threatened,Performance pop up_community,Creative edin pop up_valuable,Creative edin pop up_threatened,Creative edin pop up_community,Sculpture workshop pop up_valuable,Sculpture workshop pop up_risk,Sculpture workshop pop up_vcommunity,W1_T1_valuable,W1_T1_risk,W1_T1_community,W1_T2_valuable,W1_T2_risk,W1_T2_community,W1_T3_valuable,W1_T3_risk,W1_T3_community,W1_T4_valuable,W1_T4_risk,W1_T4_community,W2_T1_valuable,W2_T1_risk,W2_T1_community,W2_T2_valuable,W2_T2_risk,W2_T2_community,W3_valuable,W3_risk,W3_community,Pop uo_NEA_value,Pop uo_NEA_risk,Pop uo_NEA_community,Sum,Value,Risk,Community
6VT - Youth Café,Charity,,,,Young people,"To deliver holistic quality services to Edinburgh’s young people including the highest risk and most marginalised individuals, services that are empowering and motivate positive change in their lives.","11-15 Vennel, Edinburgh EH1 2HU",55.946312,-3.197335,https://www.6vt.info/home,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Art in Healthcare,Charity,Art,Non-profit organisation,,Workshops and artwork rental,,"38 Dalmeny St, Edinburgh EH6 8RG",55.964748,-3.174184,https://www.artinhealthcare.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Bridgend Inspiring Growth,Charity,,Community-based organisation,,Farm house,,"41 Old Dalkeith Rd, Edinburgh EH16 4TE",55.926758,-3.153807,https://www.bridgendfarmhouse.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
Edinburgh Palette,Charity,,,,Studio spaces,,"526 Ferry Road, Edinburgh, EH5 2FF",55.968248,-3.233151,https://www.edinburghpalette.co.uk/places/525-studios/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Eric Liddell Centre,Charity,,,,Community hub,,"15 Morningside Rd, Edinburgh EH10 4DP",55.934055,-3.209773,https://www.ericliddell.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
EVOC,Charity,,,,Voluntary sector,,"525 Ferry Road, Edinburgh, EH5 2FF",55.967942,-3.2331,https://www.evoc.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
Garvald Edinburgh,Charity,,,,Learning centre,,"17 Orwell Pl, Edinburgh EH11 2AD",55.942994,-3.218923,http://www.garvaldedinburgh.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LifeCare Edinburgh,Charity,,,,Elderly,,"2 Cheyne St, Edinburgh EH4 1JB",55.958342,-3.212948,https://www.lifecare-edinburgh.org.uk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Move on,Charity,,,,homelessness,,"25 Greenside Ln, Edinburgh EH1 3AA",55.957131,-3.185017,https://www.moveon.org.uk,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0
Music In Hospitals & Care Scotland,Charity,,,,Workshops,,"10 Forth St, Edinburgh EH1 3LD",55.957864,-3.188025,https://mihc.org.uk/scotland/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0
Pilton Youth & Children's Project,Charity,,,,Young people,,"The Greenhouse, 33 W Pilton Brae, Edinburgh EH4 4BH",55.972915,-3.241923,https://pycp.co.uk/about/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
