Waypoint,Is_Keypoint
C00002276,1
C00001331,1
C00002277,0
C00002278,0
C00002279,1
C00002280,1
C00002281,0
C00002282,0
C00002283,0
C00002284,1
C00002285,1
C00002286,0
C00002287,0
C00002288,0
C00002289,0
C00002290,0
C00002291,0
C00002292,0
C00002293,0
C00002294,1
C00002295,1
C00002296,0
C00002297,0
C00002298,0
C00002299,1
C00002300,1
C00002301,1
C00002302,1
C00002303,1
C00002304,1
C00002305,0
C00002306,0
C00002307,1
C00002308,1
C00002309,1
C00002310,0
C00002311,0
C00002312,1
C00002313,0
C00002314,1
C00002315,1
C00002316,0
C00002317,1
C00002318,0
C00002319,0
C00005757,0
C00002321,0
C00002322,0
C00002323,0
C00002324,0
C00005758,1
C00002326,0
C00002327,0
C00002328,0
C00002329,0
C00002330,0
C00002331,0
C00002332,1
C00002333,0
C00002334,0
C00002335,0
C00002336,0
C00002337,1
C00002338,1
C00002339,0
C00002340,1
C00002341,1
C00002342,0
C00002343,0
C00002344,0
C00002345,1
C00002346,0
C00002347,0
C00002348,0
C00002349,0
C00002350,0
C00002351,0
C00002352,0
C00002353,1
C00002354,0
C00002355,1
C00002356,0
C00002357,0
C00002358,0
C00002359,0
C00002360,0
C00002361,0
C00002362,0
C00002363,0
C00002364,0
C00002365,0
C00002366,0
C00002367,0
C00002368,0
C00002369,0
C00002370,0
C00002371,0
C00002372,0
C00002373,0
C00002374,1
C00005759,0
C00005760,0
C00005761,0
C00005762,0
C00005763,0
C00005764,0
C00005765,0
C00005766,0
C00005767,0
C00005768,0
C00005769,1
C00005770,0
C00005771,0
C00005772,0
C00005773,0
C00005774,0
C00005775,0
C00005776,0
C00005777,0
C00005778,0
C00005779,0
C00005780,1
C00005781,1
C00005782,0
C00005783,0
C00005784,0
C00005785,0
C00005786,0
C00005787,0
C00005788,0
C00005789,1
C00005790,1
C00005791,0
C00005792,0
C00005793,0
C00005794,0
C00005795,0
C00005796,0
C00005797,0
C00005798,1
C00005799,0
C00005800,0
C00005801,0
C00005802,0
C00005803,0
C00005804,0
C00005805,1
C00005806,0
C00005807,0
C00005808,0
C00005809,0
C00005810,0
C00005811,0
C00005812,0
C00005813,0
C00005814,0
C00005815,0
C00005816,0
C00005817,0
C00005818,0
C00005819,0
C00005820,0
C00005821,0
C00005822,1
C00005823,0
C00005824,0
C00005825,0
C00005826,0
C00005827,0
C00005828,0
C00005829,0
C00005830,0
C00005831,0
C00005832,0
C00005833,0
C00005834,0
C00005835,0
C00005836,0
C00005837,1
C00005838,0
C00005839,0
C00005840,0
C00005841,0
C00005842,0
C00005843,0
C00005844,0
C00005845,0
C00005846,0
C00005847,0
C00005848,0
C00005849,0
C00005850,0
C00005851,0
C00005852,0
C00005853,0
C00005854,0
C00005855,0
C00005856,1
C00005857,1
C00005858,0
C00005859,0
C00005860,0
C00005861,0
C00005862,0
C00005863,0
C00005864,0
C00005865,0
C00005866,0
C00005867,0
C00005868,0
C00005869,0
C00005870,0
C00005871,0
C00005872,0
C00005873,0
C00005874,0
C00005875,0
C00005876,1
C00005877,0
C00005878,0
C00005879,0
C00005880,0
C00005881,0
C00005882,0
C00005883,0
C00005884,0
C00005885,0
C00005886,0
C00005887,0
C00005888,0
C00005889,0
C00005890,1
C00005891,0
C00005892,0
C00005893,0
C00005894,0
C00005895,0
C00005896,0
C00005897,0
C00005898,0
C00005899,0
C00005900,0
C00005901,0
C00005902,1
C00005903,0
C00005904,0
C00005905,0
C00005906,0
C00005907,0
C00005908,0
C00005909,0
C00005910,0
C00005911,0
C00005912,0
C00005913,0
C00005914,0
C00005915,0
C00005916,0
C00005917,1
C00005918,0
C00005919,0
C00005920,0
C00005921,0
C00005922,0
C00005923,0
C00005924,0
C00005925,0
C00005926,1
C00005927,0
C00005928,0
C00005929,0
C00005930,0
C00005931,0
C00005932,0
C00005933,0
C00005934,1
C00005935,0
C00001371,1
C00001123,0
C00001122,0
C00001126,1
C00001373,0
C00001118,0
C00005936,1
C00005937,0
C00001375,1
C00005938,1
C00001113,1
C00001112,0
C00001111,0
C00001110,0
C00001109,0
C00001108,0
C00001107,1
C00001378,1
C00001105,0
C00001104,1
C00001103,0
C00001102,0
C00001101,0
C00001100,0
C00005939,1
C00001098,1
C00001097,0
C00001096,0
C00001095,0
C00001094,0
C00001093,0
C00001092,0
C00001091,1
C00001090,0
C00001089,0
