Waypoint,Is_Keypoint
C00008671,1
C00008672,1
C00008673,0
C00008674,0
C00008667,1
C00008675,1
C00008665,1
C00008664,0
C00008663,0
C00008662,1
C00008661,1
C00008660,0
C00008659,0
C00008658,0
C00008657,0
C00008656,0
C00008655,0
C00008654,1
C00008653,0
C00008652,0
C00008651,0
C00008650,0
C00008649,0
C00008648,1
C00008647,0
C00008646,0
C00008645,0
C00008644,1
C00008643,1
C00008642,0
C00008641,0
C00008640,0
C00008639,1
C00008638,1
C00008637,0
C00008636,0
C00008635,0
C00008634,0
C00008633,0
C00008632,0
C00008631,0
C00008630,1
C00008629,1
C00008628,0
C00008627,0
C00008626,0
C00008625,1
C00008624,1
C00008623,1
C00008622,0
C00008621,0
C00008620,1
C00008619,0
C00008618,0
C00008617,1
C00008616,1
C00008615,0
C00008614,0
C00008613,0
C00008612,1
C00008611,1
C00008610,0
C00008609,0
C00008608,0
C00008607,1
C00008606,0
C00008605,0
C00008604,0
C00008603,1
C00008602,0
C00008601,0
C00008600,0
C00008599,0
C00008598,1
C00008597,0
C00008596,0
C00008595,0
C00008594,1
C00008593,0
C00008592,0
C00008591,1
C00008590,1
C00008589,1
C00008588,0
C00008587,0
C00008586,0
C00008585,0
C00008584,1
C00008583,0
C00008582,1
C00008581,0
C00008580,0
C00008579,0
C00008578,0
C00008577,0
C00008576,1
C00008575,0
C00008574,0
C00008573,0
C00008572,1
C00008571,0
C00008570,0
C00008569,1
C00008568,0
C00008567,1
C00008566,1
C00008565,1
C00008564,0
C00008563,1
C00008562,1
C00008561,1
C00008560,1
C00008559,1
C00008558,1
C00008557,0
C00008556,0
C00008555,1
C00008554,1
C00008553,0
C00008552,1
C00008551,0
C00008550,0
C00008549,1
C00008548,0
C00008547,1
C00008546,1
C00008545,1
C00008544,1
C00008543,0
C00008542,1
C00008541,0
C00008540,0
C00008539,0
C00008538,0
C00008537,0
C00008536,0
C00008535,0
C00008534,0
C00008676,1
C00008677,0
C00008678,0
C00008679,0
C00008680,1
C00008681,0
C00008682,1
C00008683,0
C00008684,0
C00008685,0
C00008686,1
C00008687,0
C00008688,0
C00008689,1
C00008501,1
C00008519,0
C00008518,0
C00008517,0
C00008516,0
C00008515,0
C00008514,0
C00008513,0
C00008512,0
C00008511,0
C00008510,0
C00008509,0
C00008508,0
C00008507,0
C00008506,0
C00008505,0
C00008500,0
C00008504,0
C00008503,0
C00008502,0
C00008501,0
C00008500,1
C00008499,1
C00008498,0
C00008497,1
C00008496,1
C00008495,1
C00008494,0
C00008493,1
C00008492,1
C00008491,1
C00008490,0
C00008489,0
C00008488,0
C00008487,0
C00008486,1
C00008485,0
C00008484,1
C00008483,0
C00008482,0
C00008481,0
C00008480,0
C00008479,1
C00008478,1
C00008477,0
