Waypoint,Is_Keypoint
C00006550,1
C00006551,0
C00006552,0
C00006553,0
C00006554,0
C00006555,0
C00006556,0
C00006557,0
C00006558,0
C00006559,0
C00006560,0
C00006561,0
C00006562,1
C00006563,0
C00006564,0
C00006565,0
C00006566,0
C00006567,0
C00006568,0
C00006569,1
C00006570,0
C00006571,0
C00006572,0
C00006573,0
C00006574,0
C00006575,1
C00006576,0
C00006577,0
C00006578,0
C00006579,0
C00006580,0
C00006581,0
C00006582,0
C00006583,1
C00006584,0
C00006585,0
C00006586,0
C00006587,0
C00006588,0
C00006589,0
C00006590,0
C00006591,0
C00006592,1
C00006593,0
C00006594,0
C00006595,0
C00006596,0
C00006597,0
C00006598,0
C00006599,0
C00006600,0
C00006601,0
C00006602,1
C00006603,0
C00006604,0
C00006605,0
C00006606,1
C00006607,0
C00006608,0
C00006609,0
C00006610,0
C00006611,0
C00006612,0
C00006613,0
C00006614,0
C00006615,0
C00006616,0
C00006617,0
C00006618,1
C00006619,0
C00006620,0
C00006621,0
C00006622,0
C00006623,0
C00006624,0
C00006625,0
C00006626,0
C00006627,0
C00006628,0
C00006629,0
C00006630,0
C00006631,1
C00006632,0
C00006633,0
C00006634,0
C00006635,0
C00006636,0
C00006637,0
C00006638,1
C00006639,1
C00006640,1
C00006641,0
C00006642,0
C00006643,0
C00006644,0
C00006645,0
C00010137,1
C00006647,0
C00006648,0
C00006649,0
C00006650,0
C00006651,0
C00006652,0
C00006653,1
C00006654,0
C00006655,1
C00006656,1
C00006657,0
C00006658,0
C00006659,0
C00006660,0
C00006661,0
C00006662,0
C00006663,1
C00006664,0
C00006665,0
C00006666,0
C00006667,1
C00006668,0
C00006669,0
C00006670,0
C00006671,0
C00006672,0
C00006673,0
C00006674,1
C00006675,0
C00006676,0
C00006677,0
C00006678,0
C00006679,0
C00006680,0
C00006681,0
C00006682,0
C00006683,1
C00006684,0
C00006685,1
C00006686,1
C00006687,0
C00006688,0
C00006689,0
