Waypoint,Is_Keypoint
C00009411,1
C00009412,1
C00009413,0
C00009408,1
C00009407,0
C00009406,0
C00009405,0
C00009404,0
C00009403,0
C00009402,1
C00009401,0
C00009400,0
C00009399,0
C00009398,1
C00009397,0
C00009396,0
C00009395,0
C00009394,0
C00009393,0
C00009392,0
C00009391,0
C00009390,0
C00009389,0
C00009388,0
C00009387,0
C00009386,0
C00009385,0
C00009384,1
C00009383,1
C00009382,0
C00009381,1
C00009380,0
C00009379,0
C00009378,0
C00009377,0
C00009376,0
C00009375,0
C00009374,0
C00009373,0
C00009372,0
C00009371,0
C00009370,0
C00009369,1
C00009368,0
C00009367,0
C00009366,0
C00009365,0
C00009364,0
C00009363,0
C00009362,0
C00009361,0
C00009360,0
C00009359,0
C00009358,0
C00009357,0
C00009356,0
C00009355,0
C00009354,1
C00009353,0
C00009352,0
C00009351,0
C00009350,0
C00009349,0
C00009348,0
C00009347,0
C00009346,0
C00009345,0
C00009344,0
C00009343,0
C00009342,0
C00009341,0
C00009340,0
C00009339,1
C00009338,0
C00009337,0
C00009336,0
C00009335,0
C00009334,0
C00009333,0
C00009332,0
C00009331,0
C00009330,0
C00009329,0
C00009328,0
C00009327,0
C00009326,0
C00009325,0
C00009324,0
C00009323,1
C00009322,1
C00009321,0
C00009320,0
C00009319,0
C00009318,0
C00009317,0
C00009316,0
C00009315,0
C00009314,0
C00009313,1
C00009312,0
C00009311,0
C00009310,1
C00009309,0
C00009308,0
C00009307,0
C00009306,0
C00009305,0
C00009304,0
C00009303,1
C00009302,0
C00009301,0
C00009300,1
C00009299,0
C00009298,0
C00009297,1
C00009296,0
C00009295,0
C00009294,1
C00009293,0
C00009292,0
C00009291,0
C00009290,0
C00009289,0
C00009288,0
C00009287,1
C00009286,0
C00009285,0
C00009284,0
C00009283,0
C00009282,0
C00009281,0
C00009269,0
C00009280,0
C00009279,0
C00009278,0
C00009277,0
C00009276,1
C00009275,1
C00009274,0
C00009273,0
C00009272,0
C00009271,0
C00009270,0
C00009258,1
C00009269,1
C00009268,1
C00009267,0
C00009266,0
C00009265,0
C00009264,0
C00009263,0
C00009262,0
C00009261,0
C00009260,0
C00009259,0
C00009258,1
C00009257,1
C00009256,0
C00009255,0
C00009254,1
C00009253,1
C00009252,0
C00009251,1
C00009250,1
C00009249,0
C00009248,0
C00009247,1
C00007748,0
C00007747,0
C00007746,1
C00007745,0
C00007744,0
C00007743,1
C00007742,0
C00007741,0
C00007740,0
C00007739,0
C00007738,1
C00007737,0
C00007736,0
C00007735,0
C00007924,1
C00009246,1
C00009245,1
C00009244,1
C00009243,0
C00009242,0
C00009241,0
C00009240,0
C00009239,1
C00009238,0
C00009237,0
C00009236,0
C00009235,1
C00009234,0
C00009233,1
C00009232,1
C00009231,1
C00009230,0
C00009229,1
C00009228,1
C00009227,0
C00009226,0
C00009225,0
C00009224,0
C00009223,0
C00009222,0
C00009221,0
C00009220,0
C00009219,0
C00009218,0
C00009217,0
C00009216,0
C00009215,0
C00009214,0
C00009213,0
C00009212,1
C00009211,0
C00009210,0
C00009209,0
C00009208,0
C00009207,0
C00009206,0
C00009205,0
C00009202,1
C00009199,1
C00009204,0
C00009203,1
C00009202,0
C00009201,0
C00009200,1
C00009199,0
C00009198,1
C00009197,0
C00009196,1
C00009195,0
C00009194,0
C00009193,0
C00009192,0
C00009191,0
C00009190,0
C00009189,1
C00009188,1
C00009187,0
C00009186,0
C00009185,0
C00009184,0
C00009183,0
C00009182,0
C00009181,0
C00009180,1
C00009179,0
C00009178,1
C00009177,1
C00009176,1
C00009175,1
C00009174,1
C00009173,0
C00009172,0
C00009171,0
C00009170,1
C00009169,1
C00009168,0
C00009167,1
C00009145,1
C00000710,1
C00009166,1
C00009165,0
C00009164,0
C00009163,1
C00009162,1
C00009161,1
C00009160,1
C00009159,1
C00009158,1
C00009157,1
C00009156,1
C00009155,1
C00009154,1
C00009153,1
C00009152,1
C00009151,1
C00009150,0
C00009149,0
C00009148,0
C00009147,1
C00009146,0
C00009145,0
C00009144,0
C00009143,1
C00009142,1
C00009141,1
C00009140,1
C00009139,0
C00009138,1
C00009137,0
C00009136,0
C00009135,1
C00009134,0
C00009133,0
C00000704,1
C00008376,1
C00000698,1
C00000697,0
C00000696,0
C00000695,0
C00000694,0
C00008383,0
C00008382,0
C00008381,0
C00008380,0
C00008379,0
C00008372,0
C00008378,0
C00008377,0
C00001402,0
C00000713,0
C00000712,0
C00000711,0
C00000710,0
C00000709,0
C00000708,0
C00000707,0
C00000706,0
C00000705,0
C00000704,0
C00000703,0
C00000702,0
C00000701,0
C00000700,0
C00008376,1
C00001402,1
C00000715,1
C00000716,0
C00000717,1
C00000718,0
C00000719,0
C00000720,0
C00000721,0
C00008384,1
C00000723,0
C00000724,0
C00008385,1
C00000726,1
C00000727,0
C00000728,0
C00000729,0
C00000730,0
C00008386,1
C00000732,1
C00000733,0
C00000734,1
C00000735,0
C00000736,0
C00000737,0
C00000738,0
C00000739,0
C00000740,0
C00000741,0
C00000742,0
C00000743,0
C00000744,0
C00000745,0
C00000746,0
C00000747,0
C00000748,1
C00000749,0
C00000750,0
C00000751,0
C00000752,0
C00000753,0
C00000754,0
C00000755,0
C00000756,0
C00000757,0
C00000758,0
C00000759,0
C00000760,0
C00000761,0
C00000762,1
C00000763,0
C00000764,0
C00000765,0
C00000766,0
C00000767,0
C00000768,0
C00000769,0
C00000770,1
C00000771,0
C00000772,0
C00000773,0
C00000774,0
C00000775,0
C00008387,1
C00000777,1
C00000778,0
C00000779,0
C00000780,0
C00008388,1
C00000782,1
C00000783,0
C00000784,0
C00000785,0
C00000786,0
C00000787,0
C00000788,1
C00000789,1
C00008394,1
C00008393,1
C00000812,1
C00000811,1
C00008392,1
C00008391,1
C00000808,1
C00000807,0
C00000806,0
C00000805,0
C00000804,0
C00000803,0
C00000802,0
C00000801,0
C00000800,0
C00000799,0
C00000798,0
C00008390,1
C00000796,1
C00008389,1
C00000794,1
C00000793,0
C00000792,1
C00001397,1
C00000815,1
C00008395,0
C00008394,0
C00008396,0
C00008397,1
C00008398,0
C00008399,0
C00008400,0
C00008401,0
C00008402,1
C00008403,1
C00008404,1
C00008405,0
C00008406,0
C00008407,0
C00008408,0
C00008409,0
C00008410,0
C00001397,1
C00000790,1
C00001397,1
C00008411,1
C00000816,0
C00000817,0
C00000818,1
C00000819,0
C00000820,1
C00000821,1
C00001392,0
C00009132,1
C00009131,0
C00009130,0
C00009129,1
C00009128,0
C00009127,0
