Waypoint,Is_Keypoint
C00002276,1
C00001331,1
C00001328,0
C00001327,0
C00001326,1
C00001325,0
C00001324,0
C00001323,0
C00001322,0
C00001321,0
C00001320,0
C00001319,1
C00001318,0
C00001317,0
C00001316,0
C00001315,1
C00001314,0
C00009423,1
C00001312,1
C00001311,0
C00001310,0
C00001309,0
C00009424,1
C00001307,1
C00009425,1
C00009426,1
C00009427,1
C00001303,1
C00001302,0
C00009428,1
C00001300,1
C00001299,0
C00009429,1
C00001297,1
C00001296,0
C00001295,0
C00001294,1
C00001333,1
C00009430,1
C00009431,0
C00009432,0
C00009433,0
C00009434,0
C00009435,0
C00009436,1
C00009437,0
C00009438,0
C00009439,0
C00009440,0
C00009441,0
C00009442,1
C00009443,0
C00009444,1
C00009445,1
C00009446,1
C00009447,1
C00009448,1
C00009449,0
C00009450,1
C00009451,1
C00009452,0
C00009453,0
C00009454,1
C00009455,1
C00009456,0
C00009457,1
C00009458,0
C00009459,0
C00009460,0
C00009461,0
C00009462,0
C00009463,0
C00009464,1
C00009465,0
C00009466,0
C00009467,0
C00009468,0
C00009469,1
C00009470,0
C00009471,0
C00009472,0
C00009473,1
C00009474,0
C00009475,0
C00009476,0
C00009477,0
C00009478,1
C00009479,0
C00009480,0
C00009481,0
C00009482,0
C00009483,0
C00009484,0
C00009485,1
C00009486,0
C00009487,0
C00009488,1
C00009489,0
C00009490,0
C00009491,0
C00009492,0
C00009493,0
C00009494,1
C00009495,0
C00009496,0
C00009497,1
C00009498,0
C00009499,1
C00009500,0
C00009501,1
C00009502,0
C00009503,0
C00009504,0
C00009505,0
C00009506,1
C00009507,0
C00009508,0
C00009509,0
C00009510,0
C00009511,0
C00001269,1
C00001268,0
C00001267,0
C00001266,0
C00001265,1
C00001264,0
C00001263,0
C00001262,1
C00001349,1
C00001260,0
C00001259,0
C00001258,0
C00001257,0
C00001256,0
C00001255,0
C00001254,0
C00001253,0
C00001252,0
C00001251,0
C00001250,0
C00001249,0
C00008451,0
C00008450,0
C00008449,0
C00008448,0
C00008447,0
C00008446,0
C00008445,0
C00001349,0
C00001260,0
C00001249,0
C00001248,1
C00001247,0
C00001246,0
C00001245,0
C00001244,0
C00001243,1
C00009512,1
C00001351,1
C00001240,0
C00001239,0
C00001238,0
C00001237,0
C00001236,0
C00001235,0
C00001234,0
C00001233,1
C00001232,0
C00001231,0
C00001230,0
C00009513,1
C00001228,1
C00001227,0
C00001226,0
C00001225,0
C00001224,0
C00001223,1
C00001222,0
C00001221,0
C00001220,0
C00001219,0
C00001218,0
C00001217,1
C00001216,0
C00001215,0
C00001214,0
C00001213,0
C00001212,1
C00001211,0
C00001210,0
C00001209,1
C00001208,1
C00001207,1
C00001206,0
C00001205,1
C00001204,1
C00001203,1
C00009514,1
C00001201,1
C00001200,0
C00001199,0
C00001198,1
C00001197,0
C00009515,1
C00001352,1
C00001354,1
C00008441,0
C00008440,0
C00009516,1
C00008438,1
C00009517,1
C00009518,1
C00001352,1
C00001353,1
C00001193,0
C00001192,0
C00001354,1
C00009518,1
C00008435,1
C00008434,0
C00008433,0
C00008432,0
C00008431,0
C00009519,1
C00001367,1
C00001176,0
C00001175,0
C00001174,1
C00001173,0
C00001172,0
C00001171,0
C00001170,0
C00001169,0
C00001168,0
C00001167,0
C00001166,0
C00001165,1
C00008429,1
C00001163,1
C00001162,0
C00001161,0
C00001368,1
C00001159,0
C00001158,0
C00001157,0
C00001156,0
C00001155,0
C00001154,0
C00001153,1
C00001369,1
C00001151,0
C00001150,0
C00001149,1
C00001148,0
C00001147,0
C00001146,0
C00001145,0
C00001144,0
C00001143,0
C00001142,1
C00001141,0
C00001140,0
C00001139,0
C00001138,0
C00001137,0
C00001136,1
C00001135,0
C00001134,0
C00001133,0
C00001132,0
C00001131,1
C00001130,0
C00001129,0
C00001128,0
C00001127,0
C00001126,0
C00001125,1
C00001124,0
C00001123,1
C00001122,0
C00001126,1
C00001373,0
C00001118,0
C00005936,1
C00005937,0
C00001375,1
C00005938,1
C00001113,1
C00001112,0
C00001111,0
C00001110,0
C00001109,0
C00009520,1
C00001107,1
C00001378,1
C00001105,0
C00001104,1
C00009521,1
C00001102,1
C00001101,0
C00001100,0
C00005939,1
C00001098,1
C00001097,0
C00001096,0
C00001095,0
C00001094,0
C00009522,1
C00001092,1
C00001091,0
C00001090,0
C00001089,0
