Waypoint,Is_Keypoint
C00011347,1
C00011346,0
C00011345,0
C00011344,0
C00011343,0
C00011342,0
C00011341,1
C00011340,1
C00011339,1
C00011338,1
C00011337,1
C00011336,1
C00011335,1
C00011334,1
C00011333,1
C00011332,1
C00011331,1
C00011330,1
C00011329,0
C00011328,1
C00011327,1
C00011326,1
C00011325,1
C00011324,1
C00011323,1
C00011322,1
C00011321,1
C00011320,0
C00011319,0
C00011318,0
C00011317,0
C00011316,0
C00011315,0
C00011314,0
C00011313,0
C00011312,1
C00011311,0
C00011310,0
C00011309,0
C00011308,0
C00011307,0
C00011306,0
C00011305,0
C00011304,0
C00011303,0
C00011302,0
C00011301,0
C00011300,1
C00011299,0
C00011298,0
C00011297,0
C00011296,0
C00011295,0
C00011294,1
C00011293,1
C00011292,1
C00011291,1
C00011290,1
C00011289,0
C00011288,0
C00011287,0
C00011286,0
C00011285,0
C00011284,0
C00011283,1
C00011282,1
C00011281,1
C00011280,1
C00011279,1
C00011278,1
C00011277,0
C00011276,1
C00011275,1
C00011274,0
C00011273,0
C00011272,1
C00011271,0
C00011270,0
C00011269,0
C00011268,0
C00011267,0
C00011266,0
C00011265,1
C00011264,0
C00011262,0
C00011348,1
C00011262,1
C00011261,1
C00011260,0
C00011259,0
C00011258,1
C00011257,0
C00011256,1
C00011255,0
C00011254,0
C00011253,0
C00011252,0
C00011251,1
C00011250,1
C00011249,0
C00011248,1
C00011247,1
C00011246,1
C00011245,0
C00011244,0
C00011243,0
C00011242,1
C00011241,0
C00011240,0
C00011239,1
C00011238,0
C00011237,0
C00011236,0
C00011235,1
C00011234,1
C00011349,1
C00011350,1
C00011231,1
C00011230,1
C00011229,1
C00011228,0
C00011227,0
C00011226,0
C00011225,1
C00011224,0
C00011223,0
C00011222,1
C00011221,0
C00011220,1
C00011219,0
C00011218,0
C00011217,0
C00011216,0
C00011215,0
C00011214,0
C00011213,0
C00011212,1
C00011211,0
C00011210,0
C00011209,0
C00011208,0
C00011207,0
C00011206,0
C00011205,0
C00011204,1
C00011203,0
C00011202,0
C00011201,0
C00011200,0
C00011199,1
C00011198,0
C00011197,0
C00011196,0
C00011195,1
C00011194,0
C00011193,0
C00011192,0
C00011191,0
C00011190,1
C00011189,0
C00011188,0
C00011187,0
C00011186,0
C00011185,0
C00011184,0
C00011183,0
C00011182,0
C00011181,1
C00011180,1
C00011179,1
C00011178,0
C00011177,0
C00011176,0
C00011175,0
C00011174,1
C00011173,0
C00011172,0
C00011171,0
C00011170,0
C00011169,0
C00011168,1
C00011167,0
C00011166,0
C00011165,0
C00011164,0
C00011163,0
C00011162,1
C00011161,0
C00011160,1
C00011155,1
C00011151,1
C00011159,1
C00011158,1
C00011157,0
C00011156,0
C00011155,0
C00011154,1
C00011153,0
C00011152,1
C00011151,1
C00011150,0
C00011149,0
C00011148,0
C00011147,0
C00011146,0
C00011145,0
C00011144,1
C00011143,0
C00011142,0
C00011141,0
C00011140,1
C00011139,0
C00011138,0
C00011137,1
C00011136,1
C00011135,1
C00011134,1
C00011133,0
C00011132,0
C00011131,0
C00011130,0
C00011129,0
C00011128,0
C00011127,0
C00011126,1
C00011107,1
C00011088,0
C00011125,1
C00011124,0
C00011123,0
C00011122,0
C00011121,0
C00011120,1
C00011119,0
C00011118,0
C00011117,1
C00011116,1
C00011115,1
C00011114,0
C00011113,0
C00011112,0
C00011111,0
C00011110,0
C00011109,0
C00011108,0
C00011107,1
C00011106,0
C00011105,0
C00011104,0
C00011103,0
C00011102,0
C00011101,0
C00011100,0
C00011099,0
C00011098,0
C00011097,0
C00011096,0
C00011095,0
C00011094,0
C00011093,0
C00011092,1
C00011091,0
C00011090,0
C00011089,0
C00011088,0
C00011087,1
C00011086,0
C00011085,0
C00011084,0
C00011083,0
C00011082,1
