Waypoint,Is_Keypoint
C00011502,1
C00011501,0
C00011500,0
C00011499,0
C00011498,0
C00011497,1
C00009554,0
C00000427,1
C00000428,0
C00000429,0
C00000430,1
C00000431,0
C00000432,1
C00000433,0
C00000434,0
C00000435,1
C00000436,0
C00000437,1
C00000438,0
C00000439,0
C00000440,1
C00000441,0
C00009553,1
C00000443,1
C00000444,0
C00000445,1
C00000446,0
C00000447,1
C00000448,0
C00000449,1
C00000450,0
C00000451,0
C00000452,0
C00000453,1
C00000454,0
C00000455,0
C00000456,0
C00001427,1
C00000458,1
C00000459,1
C00000460,0
C00000461,0
C00000462,0
C00000463,0
C00000464,1
C00000465,0
C00000466,0
C00000467,0
C00009552,1
C00000469,1
C00000470,0
C00000471,0
C00000472,0
C00008211,0
C00008212,0
C00008213,0
C00008214,0
C00008215,0
C00008216,1
C00008217,0
C00008218,0
C00008219,0
C00008220,0
C00000487,0
C00000488,1
C00000489,0
C00000490,0
C00000491,0
C00000492,0
C00000498,0
C00000497,0
C00000496,0
C00000495,0
C00000494,0
C00000493,1
C00000492,1
C00011354,1
C00011496,1
C00011495,0
C00011494,0
C00011493,0
C00011492,0
C00011491,0
C00011490,1
C00011489,0
C00011488,0
C00011487,0
C00011486,0
C00011485,1
C00011484,0
C00011483,0
C00011482,0
C00011481,0
C00011480,0
C00011479,0
C00011478,1
C00011477,0
C00011476,0
C00011475,1
C00011474,0
C00011473,0
C00011472,0
C00011471,0
C00011470,1
C00011469,0
C00011468,0
C00011467,0
C00011466,1
C00011465,0
C00011464,0
C00009251,0
C00009252,1
C00009253,0
C00009254,1
C00009255,1
C00009256,0
C00009257,0
C00011353,1
C00009269,1
C00009268,1
C00009267,0
C00009266,0
C00009265,0
C00009264,0
C00009263,0
C00009262,0
C00009261,0
C00009260,0
C00009259,1
C00011353,1
C00011463,1
C00011462,0
C00011461,0
C00011460,1
C00011459,0
C00011458,0
C00011457,1
C00011456,0
C00011455,0
C00011454,1
C00011453,0
C00011452,0
C00011451,1
C00011450,1
C00011449,0
C00011448,0
C00011447,0
C00011446,0
C00011445,1
C00011444,1
C00011443,0
C00011442,0
C00011441,1
C00011440,0
C00011439,1
C00011438,1
C00011437,0
C00011436,0
C00011435,0
C00011434,0
C00011433,0
C00011432,1
C00011431,0
C00011503,1
C00011429,1
C00011428,0
C00011427,0
C00011426,0
C00011425,0
C00011424,0
C00011423,1
C00011422,0
C00011421,0
C00011420,0
C00011419,1
C00011418,0
C00011417,0
C00011416,0
C00011415,0
C00011414,0
C00011413,0
C00011412,0
C00011411,1
C00011410,0
C00011409,0
C00011408,0
C00011407,0
C00011406,0
C00011405,1
C00011404,0
C00011403,0
C00011402,1
C00011401,0
C00011400,1
C00011399,0
C00011398,0
C00011397,1
C00011396,0
C00011395,0
C00011394,0
C00011393,1
C00011392,0
C00011391,0
C00011390,0
C00011389,1
C00011388,0
C00011387,1
C00011386,0
C00011385,0
C00011384,1
C00011383,0
C00011382,1
C00011381,1
C00011380,0
C00011379,1
C00011378,0
C00011377,0
C00011376,1
C00011375,0
C00011374,1
C00011373,0
C00011372,0
C00011371,1
C00011370,0
C00011369,0
C00011368,1
C00011367,0
C00011366,0
C00011365,0
C00011364,0
C00011363,0
C00011362,1
C00011361,0
C00011360,0
C00011359,0
C00011358,0
C00011357,1
C00011356,0
C00011355,1
C00011354,1
C00011353,1
C00009270,1
C00009271,0
C00009272,0
C00009273,0
C00009274,0
C00009275,0
C00011352,0
C00009277,1
C00009278,0
C00009279,0
C00009280,0
C00009269,0
C00009281,0
C00009282,0
C00009283,0
C00009284,0
C00009285,0
C00009286,1
C00009287,0
C00009288,0
C00009289,0
C00009290,0
C00009291,0
C00009292,0
C00009293,1
C00009294,0
C00009295,0
C00009296,0
C00009297,1
C00009298,0
C00009299,0
C00009300,1
C00009301,0
C00009302,0
C00009303,0
C00009304,1
C00009305,0
C00009306,0
C00009307,0
C00009308,0
C00009309,0
C00009310,1
C00009311,0
C00009312,0
C00009313,0
C00009314,1
C00009315,0
C00009316,0
C00009317,0
C00009318,0
C00009319,0
C00009320,0
C00009321,0
C00009322,0
C00009323,1
C00009324,1
C00009325,0
C00009326,0
C00009327,0
C00009328,0
C00009329,0
C00009330,0
C00009331,0
C00009332,0
C00009333,0
C00009334,0
C00009335,0
C00009336,0
C00009337,0
C00009338,0
C00009339,0
C00009340,0
C00009341,0
C00009342,1
C00009343,0
C00009344,0
C00009345,0
C00009346,0
C00009347,0
C00009348,0
C00009349,0
C00009350,0
C00009351,0
C00009352,0
C00009353,0
C00009354,0
C00009355,0
C00009356,0
C00009357,1
C00009358,0
C00009359,0
C00009360,0
C00009361,0
C00009362,0
C00009363,0
C00009364,0
C00009365,0
C00009366,0
C00009367,0
C00009368,0
C00009369,0
C00009370,0
C00009371,1
C00009372,0
C00009373,0
C00009374,0
C00009375,0
C00009376,0
C00009377,0
C00009378,0
C00009379,0
C00009380,0
C00011351,1
