Waypoint,Is_Keypoint
C00011732,1
C00011731,0
C00011730,0
C00011729,0
C00011728,0
C00011727,0
C00011726,0
C00011725,0
C00011724,1
C00011723,0
C00011722,1
C00011721,0
C00011720,0
C00011719,1
C00011718,0
C00011717,0
C00011716,0
C00011715,0
C00011714,0
C00011713,1
C00011712,0
C00011711,0
C00011710,0
C00011709,1
C00011708,1
C00011707,0
C00011706,0
C00011705,0
C00011704,0
C00011703,0
C00011702,0
C00011701,1
C00011700,1
C00011699,1
C00011698,0
C00011697,0
C00011696,0
C00011695,0
C00011694,0
C00011693,0
C00011692,0
C00011691,0
C00011690,0
C00011689,1
C00011688,1
C00011687,0
C00011686,0
C00011685,0
C00011684,0
C00011683,0
C00011682,1
C00011681,1
C00011680,0
C00011679,1
C00011678,0
C00011677,1
C00011676,1
C00011675,0
C00011674,0
C00011673,0
C00011672,1
C00011671,1
C00011670,0
C00011669,0
C00011668,0
C00011667,1
C00011666,0
C00011665,0
C00011664,0
C00011663,0
C00011662,0
C00011661,0
C00011660,1
C00011659,0
C00011658,0
C00011657,0
C00011656,0
C00011655,0
C00011654,0
C00011653,1
C00011652,0
C00011651,0
C00011650,0
C00011649,0
C00011648,0
C00011647,1
C00011646,0
C00011645,0
C00011644,0
C00011643,0
C00011642,0
C00011641,1
C00011640,0
C00011639,0
C00011638,0
C00011637,0
C00011636,0
C00011635,1
C00011634,0
C00011633,0
C00011632,0
C00011631,0
C00011630,0
C00011629,0
C00011628,0
C00011627,1
C00011626,0
C00011625,0
C00011624,0
C00011623,0
C00011622,1
C00011621,0
C00011504,1
C00011620,1
C00011619,0
C00011618,0
C00011617,1
C00011616,0
C00011615,0
C00011508,0
C00011614,0
C00011613,1
C00011612,0
C00011611,0
C00011610,0
C00011609,1
C00011608,0
C00011607,0
C00011606,0
C00011605,0
C00011604,0
C00011603,1
C00011602,0
C00011601,0
C00011600,0
C00011599,0
C00011598,0
C00011597,1
C00011596,0
C00011595,0
C00011594,0
C00011593,1
C00011592,0
C00011591,1
C00011590,0
C00011589,0
C00011588,0
C00011587,0
C00011586,1
C00011585,0
C00011584,0
C00011583,0
C00011582,0
C00011581,1
C00011580,0
C00011579,0
C00011578,0
C00011577,1
C00011576,0
C00011575,0
C00011574,0
C00011573,0
C00011572,1
C00011571,0
C00011570,0
C00011569,1
C00011568,0
C00011567,1
C00011566,0
C00011565,0
C00011564,1
C00011563,0
C00011562,0
C00011561,1
C00011560,0
C00011559,0
C00011733,1
C00011557,1
C00011556,1
C00011555,0
C00011554,1
C00011553,0
C00011552,1
C00011551,1
C00011550,0
C00011549,0
C00011548,0
C00011547,1
C00011546,0
C00011545,0
C00011544,0
C00011543,1
C00011542,0
C00011541,1
C00011540,0
C00011539,0
C00011538,1
C00011537,1
C00011536,1
C00011535,1
C00011534,1
C00011533,0
C00011532,0
C00011531,1
C00011530,1
C00011529,0
C00011528,0
C00011527,0
C00011526,0
C00011525,0
C00011524,0
C00011523,1
C00011522,1
C00011521,0
C00011520,0
C00011519,1
C00011518,0
C00011517,0
C00011516,0
C00011515,0
C00011514,0
C00011513,0
C00011512,0
C00011511,0
C00011510,1
C00011509,1
C00011508,0
C00011507,0
C00011506,0
C00011505,0
C00011504,1
