Waypoint,Is_Keypoint
C00011734,1
C00011735,1
C00011736,0
C00007925,1
C00011737,1
C00011738,0
C00011739,0
C00011740,1
C00011741,0
C00011742,1
C00011743,0
C00011744,0
C00011745,1
C00011746,0
C00011747,0
C00011748,0
C00011749,1
C00011750,0
C00011751,0
C00011752,0
C00011753,0
C00011754,1
C00011755,0
C00011756,0
C00011757,0
C00011758,1
C00011759,0
C00011760,0
C00011354,1
C00011761,1
C00011762,0
C00011763,0
C00011764,0
C00011765,1
C00011766,1
C00011767,1
C00011768,0
C00011769,0
C00011770,0
C00011771,1
C00011772,0
C00011773,0
C00011774,0
C00011775,0
C00011776,0
C00011777,1
C00011778,0
C00011779,0
C00011780,0
C00011781,1
C00011782,0
C00011783,0
C00011784,0
C00011785,1
C00011786,1
C00011787,1
C00011788,0
C00011789,0
C00011790,0
C00011791,0
C00011792,0
C00011793,0
C00011794,0
C00011795,0
C00011796,0
C00011797,0
C00011798,0
C00011799,1
C00011800,0
C00011801,0
C00011802,0
C00011803,1
C00011804,0
C00011805,0
C00011806,1
C00011807,0
C00011808,1
C00011809,0
C00011810,0
C00011811,0
C00011812,0
C00011813,0
C00011814,0
C00011815,0
C00011816,0
C00011817,0
C00011818,0
C00011819,0
C00011820,0
C00011821,0
C00011822,0
C00011823,1
