Waypoint,Is_Keypoint
C00011354,1
C00011825,1
C00011826,1
C00011827,1
C00011828,0
C00011829,1
C00011830,0
C00011831,0
C00011832,1
C00011833,0
C00011834,0
C00011835,0
C00011836,0
C00011837,1
C00011838,0
C00011839,0
C00011840,0
C00011841,0
C00011842,0
C00011843,0
C00011844,0
C00011845,0
C00011846,1
C00011847,0
C00011848,0
C00011849,0
C00011850,1
C00011851,0
C00011852,0
C00011853,0
C00011854,0
C00011855,0
C00011856,1
C00011857,0
C00011858,0
C00011859,0
C00011860,0
C00011861,0
C00011862,0
C00011863,1
C00011864,0
C00011865,0
C00011866,1
C00011867,0
C00011868,0
C00011869,0
C00011870,0
C00011871,0
C00011872,0
C00011873,1
C00011874,1
C00011875,0
C00011876,1
C00011877,1
C00011878,0
C00011879,0
C00011880,0
C00011881,1
C00011882,0
C00011883,0
C00011884,0
C00011885,0
C00011886,0
C00011887,1
C00011888,0
C00011889,0
C00011890,1
C00011891,0
C00011892,0
C00011893,0
C00011894,0
C00011895,0
C00011896,0
C00011897,0
C00011898,1
C00011899,0
C00011900,0
C00011901,0
C00011902,0
C00011903,0
C00011904,1
C00011905,1
C00011906,0
C00011907,1
