Waypoint,Is_Keypoint
C00011830,1
C00011910,1
C00011911,0
C00011912,0
C00011913,0
C00011914,0
C00011915,0
C00011916,0
C00011917,0
C00011918,1
C00011919,0
C00011920,0
C00011921,0
C00011922,0
C00011923,0
C00011924,0
C00011925,0
C00011926,0
C00011927,1
C00011928,1
C00011929,0
C00011930,0
C00011931,0
C00011932,0
C00011933,1
C00011934,0
C00011935,0
C00011936,1
C00011937,1
C00011938,0
C00011939,0
C00011940,1
C00011941,1
C00011942,0
C00011943,0
C00011944,1
C00011945,1
C00011946,0
C00011947,0
C00011948,0
C00011949,1
C00011950,1
C00011951,1
C00011952,0
C00011953,0
C00011954,0
C00011955,0
C00011956,0
C00011957,0
C00011958,0
C00011959,0
C00011960,0
C00011961,1
