Waypoint,Is_Keypoint
C00010248,1
C00010249,1
C00010250,0
C00010251,0
C00010252,1
C00010253,0
C00010254,0
C00010255,1
C00010256,1
C00010257,1
C00010258,0
C00010259,0
C00010260,1
C00010261,1
C00010262,0
C00010263,0
C00010264,0
C00010265,0
C00010266,0
C00010267,1
C00010268,1
C00010269,1
C00010270,1
C00010271,1
C00010272,0
C00010273,1
C00010274,0
C00010275,0
C00010276,0
C00010277,1
C00010278,0
C00010279,0
C00010280,0
C00010281,0
C00010282,0
C00010283,1
C00010284,0
C00010285,0
C00010286,1
C00010287,0
C00010288,1
C00010289,0
C00010290,0
C00010291,0
C00010292,0
C00010293,0
C00010294,1
C00010295,0
C00010296,0
C00010297,0
C00010298,0
C00010299,0
C00010300,0
C00010301,0
C00010302,0
C00010303,0
C00010304,0
C00010305,0
C00010306,0
C00010307,1
C00010308,0
C00010309,0
C00010310,0
C00010311,1
C00010312,1
C00010313,1
C00010314,0
C00010315,0
C00010316,0
C00010317,1
C00010318,0
C00010319,0
C00010320,0
C00010321,0
C00010322,1
C00010323,0
C00010324,0
C00010325,0
C00010326,0
C00010327,0
C00010328,1
C00010329,0
C00010330,0
C00010331,0
C00010332,0
C00010333,0
C00010334,1
C00010335,0
C00010336,0
C00010337,0
C00010338,0
C00010339,1
C00010340,0
C00010341,0
C00010342,0
C00010343,0
C00010344,0
C00010345,0
C00010346,0
C00010347,0
C00010348,1
C00010349,0
C00010350,0
C00010351,0
C00010352,0
C00010353,1
C00010354,0
C00010355,0
C00010356,0
C00010357,0
C00010358,0
C00010359,0
C00010360,0
C00010361,1
C00010362,1
C00010363,1
C00010364,0
C00010365,0
C00010366,0
C00010367,1
C00010368,0
C00010369,0
C00010370,1
C00010371,0
C00010372,0
C00010373,1
C00010374,1
C00010375,0
C00010376,0
C00010377,0
C00010378,0
C00010379,0
C00010380,0
C00010381,1
C00010382,0
C00010383,0
C00010384,1
C00010385,0
C00010386,1
C00010387,0
C00010388,1
C00010389,0
C00010390,0
C00010391,1
C00010392,0
C00010393,1
C00007023,0
C00007022,0
C00007021,0
C00007020,1
C00007019,0
C00007018,0
C00010394,1
C00007016,1
C00010395,1
C00007013,1
C00007012,0
C00007011,0
C00007010,0
C00007009,0
C00007008,0
C00007007,0
C00007006,1
C00007005,0
C00007004,0
C00010396,1
C00010397,1
C00010398,0
C00010399,0
C00010400,1
C00010401,1
C00010402,0
C00010403,1
C00010404,0
C00010405,0
C00010406,1
C00010407,1
C00010408,0
C00010409,0
C00010410,0
C00010411,0
C00010412,1
C00010413,0
C00010414,0
C00010415,0
C00010416,0
C00010417,0
C00010418,0
C00010419,0
C00010420,0
C00010421,0
C00010422,0
C00010423,0
C00010424,0
C00010425,0
C00010426,0
C00010427,1
C00010428,0
C00010429,1
C00010430,0
C00010431,0
C00010432,0
C00010433,0
C00010434,0
C00010435,0
C00010436,0
C00010437,0
C00010438,0
C00010439,0
C00010440,0
C00010441,0
C00010442,1
C00010443,0
C00010444,0
C00010445,0
C00010446,0
C00010447,0
C00010448,0
C00010449,0
C00010450,0
C00010451,0
C00010452,0
C00010453,0
C00010454,0
C00010455,0
C00010456,0
C00010457,0
C00010458,1
C00010459,0
C00010460,0
C00010461,0
C00010462,0
C00010463,0
C00010464,1
C00010465,0
C00010466,1
C00010467,0
C00010468,0
C00010469,0
C00010470,0
C00010471,0
C00010472,0
C00010473,0
C00010474,0
C00010475,0
C00010476,0
C00010477,0
C00010478,0
C00010479,0
C00010480,0
C00010481,1
C00010482,0
C00010483,0
C00010484,0
C00010485,0
C00010486,0
C00010487,0
C00010488,0
C00010489,0
C00010490,0
C00010491,0
C00010492,0
C00010493,0
C00010494,0
C00010495,1
C00010496,1
C00010497,0
C00010498,0
C00010499,0
C00010500,0
C00010501,0
C00010502,0
C00010503,0
C00010504,0
C00010505,0
C00010506,1
C00010507,0
C00010508,0
C00010509,0
C00010510,0
C00010511,0
C00010512,0
C00010513,0
C00010514,1
C00010515,0
C00010516,1
C00010517,0
C00010518,0
C00010519,0
C00010520,0
C00010521,0
C00010522,0
C00010523,0
C00010524,0
C00010525,0
C00010526,0
C00010527,0
C00010528,0
C00010529,0
C00010530,1
C00010531,1
C00010532,0
C00010533,1
C00010534,1
C00010535,0
C00010536,1
C00010537,1
C00010538,1
C00010539,0
C00010540,0
C00010541,0
C00010542,0
C00010543,0
C00010544,0
C00010545,0
C00010546,0
C00010547,0
C00010548,0
C00010549,0
C00010550,0
C00010551,0
C00010552,0
C00010553,0
C00010554,0
C00010555,0
C00010556,1
C00010557,0
C00010558,1
C00010559,1
C00010560,0
C00010561,1
C00010562,1
C00010563,1
C00010564,1
C00010565,1
C00010566,0
C00010567,0
C00010568,0
C00010569,0
C00010570,0
C00010571,0
C00010572,1
C00010573,0
C00010574,0
C00010575,1
C00010576,0
C00010577,0
C00010578,0
C00010579,0
C00010580,0
C00010581,0
C00010582,0
C00010583,0
C00010584,0
C00010585,0
C00010586,0
C00010587,0
C00010588,0
C00010589,0
C00010590,0
C00010591,0
C00010592,0
C00010593,1
