Waypoint,Is_Keypoint
C00011962,1
C00011963,1
C00011964,0
C00011965,0
C00011966,0
C00011967,0
C00011968,1
C00011969,1
C00011970,0
C00011971,0
C00011972,0
C00011973,1
C00011974,0
C00011975,0
C00011976,0
C00011977,1
C00011978,1
C00011979,0
C00011980,1
C00011981,0
C00011982,0
C00011983,0
C00011984,0
C00011985,0
C00011986,0
C00011987,0
C00011988,1
C00011989,1
C00011990,0
C00011991,0
C00011992,0
C00011993,0
C00011994,1
C00011995,0
C00011996,0
C00011997,0
C00011998,1
C00011999,0
C00012000,0
C00012001,1
C00012002,1
C00012003,0
C00012004,0
C00012005,1
C00012006,0
C00012007,0
C00012008,0
C00012009,0
C00012010,1
C00012011,1
C00012012,1
C00012013,0
C00012014,0
C00012015,0
C00012016,1
C00012017,1
C00012018,0
C00012019,0
C00012020,0
C00012021,0
C00012022,1
C00012023,0
C00012024,1
C00012025,1
C00012026,0
C00012027,1
C00012028,1
C00012029,1
C00012030,0
C00012031,0
C00012032,0
C00012033,0
C00012034,0
C00012035,0
C00012036,1
C00012037,1
C00012038,0
C00012039,0
C00012040,0
C00012041,0
C00012042,0
C00012043,1
C00012044,1
C00012045,0
C00012046,0
C00012047,0
C00012048,1
C00012049,0
C00012050,0
C00012051,1
C00012052,0
C00012053,0
C00012054,0
C00012055,0
C00012056,0
C00012057,0
C00012058,1
C00012059,1
C00012060,0
C00012061,1
C00012062,1
C00012063,1
C00012064,1
C00012065,1
C00012066,0
C00012067,1
C00012068,1
C00012069,1
C00012070,1
C00012071,0
C00012072,0
C00012073,0
C00012074,0
C00012075,0
C00012076,1
C00012077,1
C00012078,0
C00012079,0
C00012080,1
C00012081,0
C00012082,0
C00012083,0
C00012084,0
C00012085,0
C00012086,0
C00012087,0
C00012088,1
C00012089,1
C00012090,1
C00012091,0
C00012092,0
C00012093,0
C00012094,0
C00012095,0
C00012096,0
C00012097,1
C00012098,0
C00012099,0
C00012100,0
C00012101,0
C00002233,1
C00012102,1
C00012103,0
C00012104,1
