Waypoint,Is_Keypoint
C00001442,1
C00001443,0
C00001444,0
C00001445,0
C00001446,0
C00001447,0
C00001448,0
C00001449,0
C00001450,1
C00001451,1
C00001452,1
C00001453,0
C00001454,0
C00001455,0
C00001456,0
C00001457,0
C00001458,0
C00001459,0
C00001460,0
C00001461,1
C00001462,1
C00001463,1
C00001464,1
C00001465,1
C00001466,1
C00001467,0
C00001468,0
C00001469,0
C00001470,1
C00001471,1
C00001472,0
C00001473,0
C00001474,0
C00001475,1
C00001476,0
C00001477,1
C00001478,0
C00001479,0
C00001480,0
C00001481,0
C00001482,0
C00001483,0
C00001484,0
C00001485,0
C00001486,0
C00001487,0
C00001488,0
C00001489,0
C00001490,1
C00001491,0
C00001492,0
C00001493,1
C00001494,0
C00001495,1
C00001494,0
C00001496,1
C00001497,0
C00001498,0
C00001499,0
C00001500,0
C00001501,1
C00001502,0
C00001503,0
C00001504,0
C00001505,1
C00001506,0
C00001507,0
C00001508,0
C00001509,1
C00001510,0
C00001511,0
C00001512,0
C00001513,0
C00001514,1
C00001515,0
C00001516,0
C00001517,0
C00001518,0
C00001519,1
C00001520,1
C00001521,0
C00001522,1
C00001523,1
C00001524,0
C00001525,0
C00001526,0
C00001527,0
C00001528,0
C00001529,0
C00001530,0
C00001531,0
C00001532,0
C00001533,0
C00001534,0
C00001535,0
C00001536,0
C00001537,0
C00001538,0
C00001539,0
C00001540,0
C00001541,0
C00001542,0
C00001543,1
C00001544,0
C00001545,0
C00001546,1
C00001547,0
C00001548,1
C00001549,1
C00001550,0
C00001551,0
C00001552,0
C00001553,0
C00001554,0
C00001555,0
C00001556,0
C00001557,0
C00001558,0
C00001559,0
C00001560,0
C00001561,0
C00001562,1
C00001563,0
C00001564,1
C00001565,1
C00001566,0
C00001567,0
C00001568,1
C00001569,0
C00001570,0
C00001571,1
C00001572,0
C00001573,0
C00001574,0
C00001575,0
C00001576,1
C00001577,1
C00001578,1
C00001579,1
C00001580,1
C00001581,0
C00001582,1
C00001583,0
C00001584,0
C00001585,0
C00001586,1
C00001587,0
C00001588,1
C00001589,0
C00001590,0
C00001591,0
C00001592,0
C00001593,1
C00001594,0
C00001595,0
C00001596,0
C00001597,0
C00001598,1
C00001599,0
C00001600,0
C00001601,0
C00001602,0
C00001603,1
C00001604,0
C00001605,0
C00001606,0
C00001607,0
C00001608,0
C00001609,0
C00001610,1
C00001611,0
C00001612,0
C00001613,0
C00001614,1
C00001615,0
C00001616,0
C00001617,0
C00001618,1
C00001619,0
C00001620,1
C00001621,0
C00001622,1
C00001623,0
C00001624,0
C00001625,0
C00001626,0
C00001627,0
C00001628,1
C00001629,1
C00001630,0
C00001631,0
C00001632,0
C00001633,0
C00001634,1
C00001635,0
C00001636,1
C00001637,0
C00001638,0
C00001639,0
C00001640,0
C00001641,0
C00001642,0
C00001643,0
C00001644,1
C00001645,1
C00001646,0
C00001647,0
C00000885,1
C00000886,0
C00000887,0
C00000888,0
C00000889,0
C00000890,0
C00000891,0
C00000892,0
C00000893,0
C00000894,0
C00000895,0
C00000896,1
C00000897,0
C00000898,0
C00000899,0
C00000900,0
C00000901,0
C00000902,0
C00000903,0
C00000904,0
C00000905,0
C00000906,1
C00000907,0
C00000908,0
C00000909,0
C00000910,1
C00000911,1
C00000912,0
C00000913,0
C00000914,0
C00001382,0
C00001648,0
C00001649,0
C00001650,1
C00001651,0
C00001652,1
C00001653,0
C00001654,0
C00001655,0
C00001656,0
C00001657,0
C00001658,1
C00001659,0
C00001660,0
C00001661,0
C00001662,0
C00001663,1
C00001664,0
C00001665,0
C00001666,0
C00001667,0
C00001668,0
C00001669,0
C00001670,0
C00001671,0
C00001672,0
C00001673,0
C00001674,0
C00001675,1
C00001676,0
C00001677,0
C00001678,0
C00001679,0
C00001680,1
C00001681,0
C00001682,0
C00001683,0
C00001684,0
C00001685,0
C00001686,1
C00001687,0
C00001688,0
C00001689,0
C00001690,0
C00001691,0
C00001692,0
C00001693,0
C00001694,0
C00001695,1
C00001696,0
C00001697,0
C00001698,0
C00001699,0
C00001700,0
C00001701,0
C00001702,0
C00001703,0
C00001704,0
C00001705,1
C00001706,0
C00001707,0
C00001708,0
C00001709,0
C00001710,0
C00001711,0
C00001712,1
C00001713,0
C00001714,0
C00001715,0
C00001716,0
C00001717,0
C00001718,1
C00001719,0
C00001720,0
C00001721,0
C00001722,0
C00001723,1
C00001724,0
C00001725,0
C00001726,0
C00001727,0
C00001728,0
C00001729,0
C00001730,0
C00001731,0
C00001732,0
C00001733,1
C00001734,0
C00001735,1
C00001736,0
C00001737,0
C00001738,0
C00001739,0
C00001740,0
C00001741,1
C00001742,0
C00001743,0
C00001744,0
C00001745,0
C00001746,0
C00001747,1
C00001748,0
C00001749,0
C00001750,0
C00001751,0
C00001752,0
C00001753,1
C00001754,0
C00001755,0
C00001756,0
C00001757,1
C00001758,0
C00001759,0
C00001760,0
C00001761,0
C00001762,0
C00001763,0
C00001764,0
C00001765,0
C00001766,0
C00001767,0
C00001768,0
C00001769,0
C00001770,0
C00001771,0
C00001772,0
C00001773,0
C00001774,0
C00001775,0
C00001776,0
C00001777,0
C00001778,0
C00001779,0
C00001780,1
C00001781,0
C00001782,0
C00001783,0
C00001784,0
C00001785,0
C00001786,0
C00001787,0
C00001788,0
C00001789,0
C00001790,1
C00001791,0
C00001792,0
C00001793,0
C00001794,0
C00001795,1
C00001796,0
C00001797,0
C00001798,0
C00001799,0
C00001800,0
C00001801,1
C00001802,0
C00001803,0
C00001804,0
C00001805,1
C00001806,0
C00001807,1
C00001808,0
C00001809,0
C00001810,0
C00001811,0
C00001812,1
C00001813,1
C00001814,0
C00001815,0
C00001816,0
C00001817,1
C00001818,1
C00001819,0
C00001820,0
C00001821,0
C00001822,0
C00001823,0
C00001824,1
C00001825,0
C00001826,0
C00001827,0
C00001828,0
C00001829,0
C00001830,1
C00001831,0
C00001832,0
C00001833,1
C00001834,1
C00001835,1
C00001836,0
C00001837,0
C00001838,0
C00001839,0
C00001840,0
C00001841,0
C00001842,0
C00001843,1
C00001844,0
C00001845,0
C00001846,0
C00001847,0
C00001848,1
C00001849,0
C00001850,0
C00001851,0
C00001852,1
C00001853,0
C00001854,0
C00001855,0
C00001856,0
C00001857,0
C00001858,0
C00001859,1
C00001860,0
C00001861,0
C00001862,1
C00001863,0
C00001864,0
C00001865,0
C00001866,1
C00001867,0
C00001868,0
C00001869,0
C00001870,0
C00001871,0
C00001872,0
C00001873,0
C00001874,0
C00001875,1
C00001876,0
C00001877,0
C00001878,0
C00001879,0
C00001880,1
C00001881,0
C00001882,0
C00001883,0
C00001884,0
C00001885,0
C00001886,0
C00001887,0
C00001888,0
C00001889,1
C00001890,0
C00001891,1
C00001892,0
C00001893,0
C00001894,0
C00001895,1
C00001896,0
C00001897,0
C00001898,0
C00001899,0
C00001900,0
C00001901,0
C00001902,0
C00001903,0
C00001904,0
C00001905,0
C00001906,0
C00001907,0
C00001908,0
C00001909,0
C00001910,1
C00001911,0
C00001912,0
C00001913,0
C00001914,0
C00001915,0
C00001916,0
C00001917,0
C00001918,0
C00001919,0
C00001920,0
C00001921,0
C00001922,1
C00001923,0
C00001924,0
C00001925,0
C00001926,1
C00001927,0
C00001928,0
C00001929,1
C00001930,0
C00001931,0
C00001932,0
C00001933,0
C00001934,0
C00001935,0
C00001936,0
C00001937,0
C00001938,1
C00001939,0
C00001940,0
C00001941,0
C00001942,0
C00001943,0
C00001944,0
C00001945,0
C00001946,0
C00001947,0
C00001948,0
C00001949,0
C00001950,0
C00001951,0
C00001952,0
C00001953,1
C00001954,0
C00001955,0
C00001956,0
C00001957,0
C00001958,0
C00001959,0
C00001960,0
C00001961,0
C00001962,0
C00001963,0
C00001964,0
C00001965,0
C00001966,1
C00001967,0
C00001968,0
C00001969,0
C00001970,1
C00001971,0
C00001972,1
C00001973,0
C00001974,0
C00001975,0
C00001976,0
C00001977,0
C00001978,0
C00001979,0
C00001980,0
C00001981,0
C00001982,0
C00001983,0
C00001984,0
C00001985,0
C00001986,0
C00001987,0
C00001988,0
C00001989,0
C00001990,1
C00001991,0
C00001992,0
C00001993,1
C00001994,0
C00001995,0
C00001996,0
C00001997,0
C00001998,0
C00001999,0
C00002000,0
C00002001,0
C00002002,0
C00002003,0
C00002004,0
C00002005,0
C00002006,1
C00002007,0
C00002008,0
C00002009,0
C00002010,1
C00002011,1
C00002012,0
C00002013,0
C00002014,0
C00002015,0
C00002016,0
C00002017,1
C00002018,0
C00002019,0
C00002020,0
C00002021,1
C00002022,1
C00002023,0
C00002024,1
C00002025,0
C00002026,0
C00002027,0
C00002028,0
C00002029,0
C00002030,0
C00002031,0
C00002032,1
C00002033,0
C00002034,0
C00002035,0
C00002036,0
C00002037,0
C00002038,0
C00002039,0
C00002040,1
C00002041,1
C00002042,1
C00002043,1
C00002044,0
C00002045,0
C00002046,1
C00002047,0
C00002048,0
C00002049,0
C00002050,0
C00002051,0
C00002052,0
C00002053,0
C00002054,0
C00002055,0
C00002056,0
C00002057,0
C00002058,0
C00002059,1
C00002060,0
C00002061,0
C00002062,0
C00002063,0
C00002064,0
C00002065,0
C00002066,0
C00002067,0
C00002068,0
C00002069,0
C00002070,0
C00002071,0
C00002072,0
C00002073,0
C00002074,0
C00002075,1
C00002076,0
C00002077,0
C00002078,0
C00002079,0
C00002080,0
C00002081,0
C00002082,0
C00002083,0
C00002084,0
C00002085,0
C00002086,1
C00002087,0
C00002088,0
C00002089,0
C00002090,1
C00002091,0
C00002092,0
C00002093,0
C00002094,0
C00002095,0
C00002096,1
C00002097,0
C00002098,0
C00002099,0
C00002100,0
C00002101,0
C00002102,0
C00002103,0
C00002104,0
C00002105,0
C00002106,1
C00002107,0
C00002108,0
C00002109,0
C00002110,0
C00002111,0
C00002112,0
C00002113,0
C00002114,1
C00002115,0
C00002116,0
C00002117,0
C00002118,0
C00002119,0
C00002120,1
C00002121,1
C00002122,1
C00002123,0
C00002124,1
C00002125,0
C00002126,0
C00002127,0
C00002128,1
C00002129,0
C00002130,0
C00002131,1
C00002132,0
C00002133,0
C00002134,0
C00002135,0
C00002136,1
C00002137,0
C00002138,0
C00002139,0
C00002140,0
C00002141,1
C00002142,0
C00002143,0
C00002144,0
C00002145,0
C00002146,1
C00002147,0
C00002148,0
C00002149,0
C00002150,1
C00002151,0
C00002152,1
