Waypoint,Is_Keypoint
C00007910,1
C00007909,1
C00007908,0
C00007907,0
C00007906,0
C00007905,0
C00007904,0
C00007903,0
C00007902,0
C00007901,1
C00007900,0
C00007899,0
C00007898,0
C00007897,0
C00007911,1
C00007895,0
C00007894,0
C00007893,0
C00007892,0
C00007891,0
C00007890,0
C00007889,0
C00007888,0
C00007887,1
C00007886,0
C00007885,0
C00007884,1
C00007883,1
C00007882,1
C00007881,0
C00007880,0
C00007879,0
C00007912,1
C00007877,0
C00007876,0
C00007875,0
C00007874,0
C00007873,0
C00007872,0
C00007871,0
C00007870,0
C00007869,0
C00007868,0
C00007867,0
C00007866,0
C00007865,0
C00007864,0
C00007863,0
C00007913,1
C00007861,0
C00007860,0
C00007859,0
C00007858,0
C00007914,1
C00007856,0
C00007855,0
C00007854,0
C00007853,0
C00007852,0
C00007851,0
C00007850,0
C00007915,1
C00007848,0
C00007916,1
C00007846,0
C00007845,0
C00007917,1
C00007843,0
C00007842,0
C00007841,0
C00007840,0
C00007839,1
C00007838,0
C00002128,1
C00007918,1
C00007836,0
C00007835,0
C00007834,0
C00007833,0
C00007832,0
C00007831,1
C00007830,0
C00007829,0
C00007828,1
C00007827,0
C00007826,0
C00007825,1
C00007824,0
C00007823,0
C00007822,0
C00007821,1
C00007820,0
C00007819,0
C00007818,0
C00007817,0
C00007816,0
C00007815,1
C00007814,0
C00007813,1
C00007812,0
C00007811,0
C00007919,1
C00007809,0
C00007808,0
C00007807,0
C00007806,0
C00007805,1
C00007804,0
C00007803,0
C00007802,1
C00007801,0
C00007800,0
C00007799,0
C00007798,0
C00007797,1
C00007796,0
C00007795,0
C00007794,0
C00007793,0
C00007792,1
C00007791,0
C00007790,0
C00007789,0
C00007788,0
C00007787,1
C00007786,0
C00007785,0
C00007784,0
C00007783,0
C00007782,0
C00007920,1
C00007780,0
C00007779,0
C00007921,1
C00007777,0
C00007776,1
C00007775,1
C00007774,0
C00007773,0
C00007772,0
C00007771,0
C00007770,0
C00007769,0
C00007768,1
C00007767,0
C00007766,1
C00007765,0
C00007764,0
C00007763,0
C00007762,0
C00007922,1
C00007760,0
C00007759,0
C00007758,0
C00007757,0
C00007756,0
C00007755,0
C00007754,1
C00007753,0
C00007923,1
C00007751,0
C00007750,1
C00007749,0
C00007748,1
C00007747,0
C00007746,0
C00007745,1
C00007744,0
C00007743,0
C00007742,1
C00007741,0
C00007740,0
C00007739,0
C00007738,0
C00007737,1
C00007736,0
C00007735,0
C00007924,1
C00007733,0
C00007732,0
C00007731,0
C00007925,1
C00007729,0
C00007926,1
C00007726,0
C00007727,1
C00007726,1
C00007725,0
C00007724,0
C00007723,0
C00007722,1
C00007721,0
C00007720,0
C00007719,1
C00007718,1
C00007927,1
C00007928,0
C00007929,0
C00007930,0
C00007931,0
C00007932,0
C00007933,0
C00007934,0
C00007935,1
C00007936,0
C00007937,0
C00007938,1
C00007705,0
C00007704,0
C00007703,0
C00007702,0
C00007701,0
C00007700,0
C00007699,0
C00007698,0
C00007697,1
C00007696,0
C00007695,0
C00007694,0
C00007693,0
C00007692,1
C00007691,0
C00007690,0
C00007689,0
C00007688,0
C00007687,0
C00007686,0
C00007685,0
C00007684,1
C00007683,1
C00007682,0
C00007681,0
C00007939,1
C00007679,0
C00007678,0
C00007677,0
C00007676,0
C00007675,0
C00007674,1
C00007673,0
C00007672,0
C00007671,0
C00007670,0
C00007669,0
C00007668,0
C00007667,0
C00007666,0
C00007665,0
C00007664,0
C00007663,0
C00007662,0
C00007661,1
C00007660,0
C00007659,0
C00007658,0
C00007940,1
C00007656,0
C00007655,0
C00007654,0
C00007653,0
C00007652,0
C00007651,0
C00007650,0
C00007649,0
C00007648,0
C00007647,0
C00007646,0
C00007645,0
C00007644,1
C00007643,0
C00007642,0
C00007641,0
C00007640,0
C00007639,1
C00007638,1
C00007637,1
C00007636,0
C00007635,0
C00007634,0
C00007633,0
C00007632,1
C00007631,1
C00007630,1
C00007629,0
C00007628,0
C00007941,1
C00007626,0
C00007625,0
C00007624,0
C00007623,1
C00007622,1
C00007621,0
C00007620,1
C00007619,0
C00007618,1
C00007617,0
C00007942,1
C00007615,0
C00007614,1
C00007613,1
C00007612,1
C00007611,0
C00007610,0
C00007609,1
C00007608,1
C00007607,0
C00007606,0
C00007605,0
C00007604,0
C00007603,0
C00007602,0
C00007601,1
C00007600,0
C00007599,0
C00007598,0
C00007597,0
C00007596,0
C00007595,0
C00007594,1
C00007593,0
C00007592,0
C00007591,0
C00007590,0
C00007589,0
C00007588,0
C00007587,0
C00007586,1
C00007585,1
C00007584,0
C00007943,1
C00007582,0
C00007581,0
C00007580,0
C00007944,1
C00007578,0
C00007577,0
C00007576,0
C00007575,0
C00007945,1
C00007573,0
C00007572,0
C00007571,1
