Waypoint,Is_Keypoint
C00000000,1
C00000001,1
C00000002,0
C00000003,0
C00000004,0
C00000005,0
C00000006,0
C00000007,0
C00000008,0
C00000009,0
C00000010,0
C00000011,1
C00000012,0
C00000013,0
C00000014,0
C00000015,0
C00000016,0
C00000017,1
C00000018,0
C00000019,0
C00000020,0
C00000021,0
C00000022,0
C00000023,1
C00000024,0
C00000025,0
C00000026,0
C00000027,1
C00000028,0
C00000029,0
C00000030,0
C00000031,1
C00000032,0
C00000033,1
C00000034,0
C00000035,0
C00000036,0
C00000037,0
C00000038,0
C00000039,1
C00000040,0
C00000041,1
C00000042,0
C00000043,0
C00000044,1
C00000045,1
C00000046,0
C00000047,0
C00000048,1
C00000049,0
C00000050,0
C00000051,1
C00000052,0
C00000053,0
C00000054,0
C00000055,0
C00000056,1
C00000057,0
C00000058,1
C00000059,1
C00000060,0
C00000061,1
C00000062,0
C00000063,1
C00000064,0
C00000065,0
C00000066,1
C00000067,0
C00000068,1
C00000069,0
C00000070,0
C00000071,1
C00000072,0
C00000073,1
C00000074,0
C00000075,0
C00000076,1
C00000077,1
C00000078,0
C00000079,0
C00000080,1
C00000081,0
C00000082,1
C00000083,0
C00000084,1
C00000085,0
C00000086,0
C00000087,1
C00000088,1
C00000089,1
C00000090,0
C00000091,0
C00000092,1
C00000093,0
C00000094,0
C00000095,1
C00000096,0
C00000097,1
C00000098,0
C00000099,1
C00000100,1
C00000101,1
C00000102,0
C00000103,1
C00000104,1
C00000105,1
C00000106,0
C00000107,1
C00000108,0
C00000109,0
C00000110,0
C00000111,0
C00000112,1
C00000113,0
C00000114,0
C00000115,0
C00000116,0
C00000117,1
C00000118,1
C00000119,0
C00000120,1
C00000121,1
C00000122,1
C00000123,1
C00000124,0
C00000125,0
C00000126,0
C00000127,0
C00000128,0
C00000129,0
C00000130,1
C00000131,0
C00000132,1
C00000133,0
C00000134,0
C00000135,1
C00000136,0
C00000137,1
C00000138,0
C00000139,0
C00000140,1
C00000141,0
C00000142,0
C00000143,0
C00000144,1
C00000145,1
C00000146,0
C00000147,0
C00000148,0
C00000149,0
C00000150,0
C00000151,1
C00000152,0
C00000153,0
C00000154,0
C00000155,0
C00000156,0
C00000157,1
C00000158,0
C00000159,1
C00000160,0
C00000161,0
C00000162,1
C00000163,1
C00000164,1
C00000165,1
C00000166,1
C00000167,1
C00000168,0
C00000169,1
C00000170,1
C00000171,1
C00000172,0
C00000173,0
C00000174,0
C00000175,0
C00000176,0
C00000177,0
C00000178,0
C00000179,1
C00000180,0
C00000181,0
C00000182,0
C00000183,0
C00000184,0
C00000185,0
C00000186,0
C00000187,0
C00000188,0
C00000189,0
C00000190,0
C00000191,1
C00000192,0
C00000193,0
C00000194,0
C00000195,0
C00000196,1
C00000197,0
C00000198,0
C00000199,1
C00000200,1
C00000201,1
C00000202,0
C00000203,0
C00000204,0
C00000205,0
C00000206,0
C00000207,1
C00000208,0
C00000209,0
C00000210,0
C00000211,0
C00000212,1
C00000213,0
C00000214,0
C00000215,0
C00000216,1
C00000217,0
C00000218,1
C00000219,0
C00000220,0
C00000221,0
C00000222,0
C00000223,0
C00000224,0
C00000225,0
C00000226,0
C00000227,0
C00000228,0
C00000229,1
C00000230,0
C00000231,0
C00000232,0
C00000233,1
C00000234,0
C00000235,0
C00000236,0
C00000237,1
C00000238,0
C00000239,0
C00000240,0
C00000241,0
C00000242,0
C00000243,1
C00000244,0
C00000245,1
C00000246,0
C00000247,1
C00000248,0
C00000249,0
C00000250,1
C00000251,0
C00000252,0
C00000253,0
C00000254,0
C00000255,1
C00000256,0
C00000257,0
C00000258,0
C00000259,1
C00000260,0
C00000261,0
C00000262,0
C00000263,1
C00000264,0
C00000265,0
C00000266,0
C00000267,0
C00000268,0
C00000269,1
C00000270,0
C00000271,0
C00000272,0
C00000273,1
C00000274,0
C00000275,0
C00000276,0
C00000277,0
C00000278,1
C00000279,0
C00000280,0
C00000281,0
C00000282,1
C00000283,0
C00000284,0
C00000285,0
C00000286,1
C00000287,0
C00000288,0
C00000289,0
C00000290,0
C00000291,0
C00000292,0
C00000293,1
C00000294,0
C00000295,1
C00000296,0
C00000297,0
C00000298,0
C00000299,0
C00000300,0
C00000301,0
C00000302,1
C00000303,0
C00000304,0
C00000305,0
C00000306,0
C00000307,1
C00000308,0
C00000309,0
C00000310,0
C00000311,0
C00000312,0
C00000313,1
C00000314,0
C00000315,0
C00000316,0
C00000317,1
C00000318,0
C00000319,0
C00000320,0
C00000321,1
C00000322,0
C00000323,0
C00000324,0
C00000325,0
C00000326,1
C00000327,0
C00000328,0
C00000329,0
C00000330,0
C00000331,0
C00000332,0
C00000333,0
C00000334,0
C00000335,0
C00000336,1
C00000337,0
C00000338,0
C00000339,0
C00000340,0
C00000341,0
C00000342,1
C00000343,0
C00000344,0
C00000345,0
C00000346,0
C00000347,1
C00000348,0
C00000349,0
C00000350,0
C00000351,0
C00000352,0
C00000353,0
C00000354,1
C00000355,0
C00000356,0
C00000357,0
C00000358,0
C00000359,1
C00000360,0
C00000361,0
C00000362,0
C00000363,0
C00000364,0
C00000365,0
C00000366,1
C00000367,0
C00000368,0
C00000369,0
C00000370,0
C00000371,1
C00000372,0
C00000373,0
C00000374,0
C00000375,1
C00000376,0
C00000377,0
C00000378,0
C00000379,0
C00000380,0
C00000381,1
C00000382,0
C00000383,0
C00000384,1
C00000385,0
C00000386,0
C00000387,0
C00000388,0
C00000389,0
C00000390,0
C00000391,0
C00000392,0
C00000393,0
C00000394,0
C00000395,0
C00000396,0
C00000397,1
C00000398,0
C00000399,0
C00000400,1
C00000401,1
C00000402,1
C00000403,1
C00000404,0
C00000405,0
C00000406,1
C00000407,1
C00000408,0
C00000409,0
C00000410,1
C00000411,0
C00000412,0
C00000413,1
C00000414,0
C00000415,0
C00000416,0
C00000417,1
C00000418,0
C00000419,0
C00000420,1
C00000421,0
C00000422,0
C00000423,0
C00000424,1
C00000425,0
C00000426,1
C00000427,0
C00000428,0
C00000429,0
C00000430,1
C00000431,0
C00000432,0
C00000433,1
C00000434,0
C00000435,0
C00000436,1
C00000437,0
C00000438,1
C00000439,0
C00000440,0
C00000441,1
C00000442,0
C00000443,0
C00000444,1
C00000445,0
C00000446,1
C00000447,0
C00000448,1
C00000449,0
C00000450,1
C00000451,0
C00000452,0
C00000453,0
C00000454,1
C00000455,0
C00000456,0
C00000457,1
C00000458,0
C00000459,1
C00000460,0
C00000461,0
C00000462,0
C00000463,0
C00000464,1
C00000465,0
C00000466,0
C00000467,0
C00000468,0
C00000469,0
C00000470,0
C00000471,1
C00000472,0
C00000473,0
C00000474,0
C00000475,0
C00000476,0
C00000477,0
C00000478,0
C00000479,0
C00000480,0
C00000481,0
C00000482,0
C00000483,0
C00000484,1
C00000485,0
C00000486,0
C00000487,0
C00000488,0
C00000489,0
C00000490,1
C00000491,0
C00000492,0
C00000493,0
C00000494,0
C00000495,0
C00000496,0
C00000497,0
C00000498,1
C00000499,0
C00000500,0
C00000501,0
C00000502,0
C00000503,0
C00000504,0
C00000505,0
C00000506,1
C00000507,0
C00000508,0
C00000509,0
C00000510,0
C00000511,0
C00000512,0
C00000513,0
C00000514,0
C00000515,0
C00000516,0
C00000517,0
C00000518,0
C00000519,0
C00000520,0
C00000521,0
C00000522,1
C00000523,0
C00000524,0
C00000525,1
C00000526,1
C00000527,0
C00000528,0
C00000529,1
C00000530,0
C00000531,0
C00000532,0
C00000533,0
C00000534,0
C00000535,0
C00000536,0
C00000537,0
C00000538,0
C00000539,0
C00000540,1
C00000541,0
C00000542,0
C00000543,0
C00000544,0
C00000545,1
C00000546,0
C00000547,0
C00000548,0
C00000549,0
C00000550,0
C00000551,1
C00000552,0
C00000553,0
C00000554,1
C00000555,0
C00000556,0
C00000557,0
C00000558,0
C00000559,0
C00000560,0
C00000561,0
C00000562,0
C00000563,0
C00000564,0
C00000565,0
C00000566,0
C00000567,0
C00000568,0
C00000569,0
C00000570,0
C00000571,1
C00000572,0
C00000573,0
C00000574,0
C00000575,1
C00000576,0
C00000577,0
C00000578,0
C00000579,0
C00000580,0
C00000581,0
C00000582,0
C00000583,0
C00000584,0
C00000585,0
C00000586,0
C00000587,0
C00000588,0
C00000589,0
C00000590,1
C00000591,0
C00000592,0
C00000593,0
C00000594,0
C00000595,1
C00000596,0
C00000597,0
C00000598,0
C00000599,0
C00000600,0
C00000601,1
C00000602,0
C00000603,0
C00000604,0
C00000605,0
C00000606,0
C00000607,0
C00000608,0
C00000609,0
C00000610,0
C00000611,0
C00000612,1
C00000613,0
C00000614,0
C00000615,0
C00000616,0
C00000617,0
C00000618,0
C00000619,0
C00000620,0
C00000621,0
C00000622,0
C00000623,0
C00000624,1
C00000625,1
C00000626,0
C00000627,0
C00000628,0
C00000629,0
C00000630,0
C00000631,1
C00000632,0
C00000633,0
C00000634,1
C00000635,0
C00000636,1
C00000637,0
C00000638,0
C00000639,0
C00000640,1
C00000641,0
C00000642,0
C00000643,0
C00000644,1
C00000645,0
C00000646,1
C00000647,1
C00000648,0
C00000649,1
C00000650,0
C00000651,0
C00000652,0
C00000653,0
C00000654,0
C00000655,0
C00000656,0
C00000657,0
C00000658,0
C00000659,0
C00000660,0
C00000661,1
C00000662,1
C00000663,0
C00000664,1
C00000665,1
C00000666,0
C00000667,1
C00000668,0
C00000669,1
C00000670,0
C00000671,0
C00000672,0
C00000673,0
C00000674,0
C00000675,0
C00000676,0
C00000677,0
C00000678,1
C00000679,1
C00000680,0
C00000681,1
C00000682,0
C00000683,0
C00000684,0
C00000685,0
C00000686,0
C00000687,0
C00000688,0
C00000689,0
C00000690,1
C00000691,1
C00000692,1
C00000693,0
C00000694,1
C00000695,0
C00000696,0
C00000697,0
C00000698,0
C00000699,0
C00000700,0
C00000701,0
C00000702,0
C00000703,0
C00000704,0
C00000705,0
C00000706,0
C00000707,0
C00000708,0
C00000709,0
C00000710,0
C00000711,0
C00000712,0
C00000713,0
C00000714,1
C00000715,0
C00000716,0
C00000717,0
C00000718,0
C00000719,0
C00000720,0
C00000721,0
C00000722,1
C00000723,0
C00000724,0
C00000725,0
C00000726,0
C00000727,0
C00000728,0
C00000729,0
C00000730,0
C00000731,0
C00000732,0
C00000733,1
C00000734,0
C00000735,1
C00000736,0
C00000737,0
C00000738,0
C00000739,0
C00000740,0
C00000741,0
C00000742,0
C00000743,0
C00000744,0
C00000745,0
C00000746,0
C00000747,0
C00000748,1
C00000749,0
C00000750,0
C00000751,0
C00000752,0
C00000753,0
C00000754,0
C00000755,0
C00000756,0
C00000757,0
C00000758,0
C00000759,0
C00000760,0
C00000761,0
C00000762,0
C00000763,0
C00000764,0
C00000765,0
C00000766,0
C00000767,0
C00000768,0
C00000769,0
C00000770,1
C00000771,0
C00000772,0
C00000773,0
C00000774,0
C00000775,0
C00000776,1
C00000777,0
C00000778,0
C00000779,0
C00000780,0
C00000781,0
C00000782,1
C00000783,0
C00000784,0
C00000785,0
C00000786,0
C00000787,0
C00000788,0
C00000789,1
C00000790,0
C00000791,1
C00000792,0
C00000793,0
C00000794,0
C00000795,1
C00000796,0
C00000797,1
C00000798,0
C00000799,0
C00000800,0
C00000801,0
C00000802,0
C00000803,0
C00000804,0
C00000805,0
C00000806,0
C00000807,0
C00000808,0
C00000809,0
C00000810,0
C00000811,0
C00000812,1
C00000813,0
C00000814,0
C00000815,0
C00000816,1
C00000817,0
C00000818,0
C00000819,1
C00000820,0
C00000821,1
C00000822,1
C00000823,0
C00000824,0
C00000825,0
C00000826,0
C00000827,1
C00000828,0
C00000829,0
C00000830,0
C00000831,1
C00000832,0
C00000833,1
C00000834,0
C00000835,0
C00000836,0
C00000837,1
C00000838,0
C00000839,0
C00000840,0
C00000841,0
C00000842,0
C00000843,0
C00000844,0
C00000845,1
C00000846,0
C00000847,0
C00000848,0
C00000849,0
C00000850,0
C00000851,0
C00000852,1
C00000853,1
C00000854,0
C00000855,0
C00000856,0
C00000857,0
C00000858,0
C00000859,0
C00000860,0
C00000861,1
C00000862,0
C00000863,0
C00000864,1
C00000865,0
C00000866,0
C00000867,1
C00000868,0
C00000869,0
C00000870,1
C00000871,0
C00000872,0
C00000873,0
C00000874,0
C00000875,0
C00000876,0
C00000877,0
C00000878,1
C00000879,0
C00000880,0
C00000881,0
C00000882,0
C00000883,0
C00000884,0
C00000885,1
C00000886,0
C00000887,0
C00000888,0
C00000889,0
C00000890,0
C00000891,0
C00000892,0
C00000893,0
C00000894,0
C00000895,0
C00000896,1
C00000897,0
C00000898,0
C00000899,0
C00000900,0
C00000901,0
C00000902,0
C00000903,0
C00000904,0
C00000905,0
C00000906,1
C00000907,0
C00000908,0
C00000909,0
C00000910,1
C00000911,1
C00000912,0
C00000913,0
C00000914,0
C00000915,1
C00000916,0
C00000917,1
C00000918,0
C00000919,0
C00000920,0
C00000921,1
C00000922,0
C00000923,1
C00000924,1
C00000925,1
C00000926,1
C00000927,0
C00000928,0
C00000929,1
C00000930,0
C00000931,1
C00000932,0
C00000933,0
C00000934,0
C00000935,0
C00000936,0
C00000937,0
C00000938,1
C00000939,0
C00000940,1
C00000941,0
C00000942,1
C00000943,1
C00000944,0
C00000945,1
C00000946,0
C00000947,1
C00000948,0
C00000949,0
C00000950,0
C00000951,0
C00000952,1
C00000953,0
C00000954,0
C00000955,0
C00000956,0
C00000957,0
C00000958,1
C00000959,0
C00000960,0
C00000961,1
C00000962,0
C00000963,0
C00000964,1
C00000965,1
C00000966,1
C00000967,1
C00000968,0
C00000969,1
C00000970,0
C00000971,1
C00000972,0
C00000973,1
C00000974,0
C00000975,0
C00000976,0
C00000977,0
C00000978,0
C00000979,0
C00000980,0
C00000981,1
C00000982,0
C00000983,0
C00000984,0
C00000985,0
C00000986,0
C00000987,0
C00000988,0
C00000989,0
C00000990,0
C00000991,0
C00000992,1
C00000993,0
C00000994,0
C00000995,0
C00000996,0
C00000997,0
C00000998,0
C00000999,0
C00001000,1
C00001001,0
C00001002,0
C00001003,0
C00001004,0
C00001005,0
C00001006,0
C00001007,0
C00001008,0
C00001009,1
C00001010,0
C00001011,0
C00001012,0
C00001013,0
C00001014,1
C00001015,0
C00001016,0
C00001017,0
C00001018,0
C00001019,0
C00001020,0
C00001021,0
C00001022,0
C00001023,0
C00001024,0
C00001025,0
C00001026,1
C00001027,0
C00001028,0
C00001029,0
C00001030,0
C00001031,0
C00001032,0
C00001033,0
C00001034,0
C00001035,0
C00001036,1
C00001037,0
C00001038,0
C00001039,0
C00001040,0
C00001041,0
C00001042,1
C00001043,0
C00001044,0
C00001045,0
C00001046,0
C00001047,0
C00001048,0
C00001049,0
C00001050,0
C00001051,0
C00001052,1
C00001053,0
C00001054,0
C00001055,0
C00001056,0
C00001057,0
C00001058,0
C00001059,0
C00001060,0
C00001061,0
C00001062,1
C00001063,0
C00001064,0
C00001065,0
C00001066,0
C00001067,0
C00001068,0
C00001069,0
C00001070,0
C00001071,0
C00001072,0
C00001073,0
C00001074,0
C00001075,0
C00001076,1
C00001077,0
C00001078,0
C00001079,0
C00001080,0
C00001081,0
C00001082,0
C00001083,1
C00001084,0
C00001085,0
C00001086,0
C00001087,1
C00001088,0
C00001089,0
C00001090,0
C00001091,0
C00001092,1
C00001093,0
C00001094,0
C00001095,0
C00001096,0
C00001097,0
C00001098,0
C00001099,1
C00001100,0
C00001101,0
C00001102,0
C00001103,1
C00001104,0
C00001105,1
C00001106,1
C00001107,0
C00001108,1
C00001109,0
C00001110,0
C00001111,0
C00001112,0
C00001113,0
C00001114,1
C00001115,1
C00001116,0
C00001117,0
C00001118,1
C00001119,1
C00001120,0
C00001121,0
C00001122,1
C00001123,0
C00001124,1
C00001125,0
C00001126,0
C00001127,0
C00001128,0
C00001129,0
C00001130,0
C00001131,1
C00001132,0
C00001133,0
C00001134,0
C00001135,0
C00001136,1
C00001137,0
C00001138,0
C00001139,1
C00001140,0
C00001141,0
C00001142,0
C00001143,0
C00001144,1
C00001145,0
C00001146,0
C00001147,0
C00001148,0
C00001149,0
C00001150,1
C00001151,0
C00001152,1
C00001153,0
C00001154,0
C00001155,0
C00001156,0
C00001157,1
C00001158,0
C00001159,0
C00001160,1
C00001161,1
C00001162,0
C00001163,0
C00001164,1
C00001165,0
C00001166,1
C00001167,0
C00001168,0
C00001169,0
C00001170,0
C00001171,0
C00001172,0
C00001173,0
C00001174,0
C00001175,1
C00001176,0
C00001177,1
C00001178,1
C00001179,0
C00001180,1
C00001181,1
C00001182,0
C00001183,0
C00001184,0
C00001185,0
C00001186,1
C00001187,0
C00001188,0
C00001189,1
C00001190,1
C00001191,1
C00001192,0
C00001193,0
C00001194,1
C00001195,1
C00001196,0
C00001197,0
C00001198,0
C00001199,1
C00001200,0
C00001201,0
C00001202,0
C00001203,1
C00001204,1
C00001205,0
C00001206,1
C00001207,1
C00001208,1
C00001209,0
C00001210,0
C00001211,1
C00001212,0
C00001213,0
C00001214,0
C00001215,1
C00001216,0
C00001217,0
C00001218,0
C00001219,0
C00001220,0
C00001221,1
C00001222,0
C00001223,0
C00001224,0
C00001225,0
C00001226,1
C00001227,0
C00001228,0
